[2018-06-10 13:46:05,712] {connectionpool.py:212} DEBUG - Starting new HTTP connection (1): api
[2018-06-10 13:50:42,184] {connectionpool.py:212} DEBUG - Starting new HTTP connection (1): api
[2018-06-10 13:54:44,839] {connectionpool.py:212} DEBUG - Starting new HTTP connection (1): piplates-1.local
[2018-06-10 13:54:44,951] {connectionpool.py:400} DEBUG - http://piplates-1.local:5000 "POST /api/v1/gpio/all-high/ HTTP/1.1" 404 233
[2018-06-10 13:56:36,780] {connectionpool.py:212} DEBUG - Starting new HTTP connection (1): piplates-1.local
[2018-06-10 13:56:36,806] {connectionpool.py:400} DEBUG - http://piplates-1.local:5000 "POST /api/v1/gpio/all-high HTTP/1.1" 200 754
[2018-06-10 13:56:56,028] {connectionpool.py:212} DEBUG - Starting new HTTP connection (1): piplates-1.local
[2018-06-10 13:56:56,142] {connectionpool.py:400} DEBUG - http://piplates-1.local:5000 "POST /api/v1/gpio/all-high HTTP/1.1" 200 754
[2018-06-10 13:57:58,361] {connectionpool.py:212} DEBUG - Starting new HTTP connection (1): piplates-1.local
[2018-06-10 13:57:58,375] {connectionpool.py:400} DEBUG - http://piplates-1.local:5000 "POST /api/v1/gpio/all-high HTTP/1.1" 200 754
[2018-06-10 13:57:59,723] {connectionpool.py:212} DEBUG - Starting new HTTP connection (1): piplates-1.local
[2018-06-10 13:57:59,737] {connectionpool.py:400} DEBUG - http://piplates-1.local:5000 "POST /api/v1/gpio/all-high HTTP/1.1" 200 754
[2018-06-10 14:01:35,196] {connectionpool.py:212} DEBUG - Starting new HTTP connection (1): piplates-1.local
[2018-06-10 14:01:35,282] {connectionpool.py:400} DEBUG - http://piplates-1.local:5000 "POST /api/v1/relay/all-high HTTP/1.1" 200 2525
[2018-06-10 14:01:36,827] {connectionpool.py:212} DEBUG - Starting new HTTP connection (1): piplates-1.local
[2018-06-10 14:01:36,922] {connectionpool.py:400} DEBUG - http://piplates-1.local:5000 "POST /api/v1/relay/all-high HTTP/1.1" 200 2525
[2018-06-10 14:01:51,131] {connectionpool.py:212} DEBUG - Starting new HTTP connection (1): piplates-1.local
[2018-06-10 14:01:51,330] {connectionpool.py:400} DEBUG - http://piplates-1.local:5000 "POST /api/v1/relay/all-high HTTP/1.1" 200 2525
